OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,FreightValue,ShippingLimitDate
1,O-10001,P-1001,1,189.90,22.50,2017-03-20
2,O-10001,P-2001,2,89.90,15.00,2017-03-20
3,O-10002,P-3001,1,149.00,12.30,2017-04-08
4,O-10003,P-4001,1,640.00,65.00,2017-06-29
5,O-10003,P-2002,3,45.50,14.20,2017-06-29
6,O-10004,P-1002,2,129.90,18.40,2017-08-14
7,O-10005,P-3002,4,59.90,9.80,2017-11-03
8,O-10006,P-2001,1,89.90,15.00,2017-11-10
9,O-10007,P-5001,2,119.00,24.00,2018-01-23
10,O-10007,P-2002,1,45.50,14.20,2018-01-23
11,O-10008,P-1001,1,189.90,22.50,2018-02-20
12,O-10009,P-3001,2,149.00,12.30,2018-03-14
13,O-10010,P-3002,1,59.90,8.10,2018-05-01
14,O-10011,P-2001,3,89.90,15.00,2018-06-05
15,O-10012,P-1002,1,129.90,18.40,2018-06-18
