OrderID,CustomerID,ManagerID,OrderStatus,OrderDate,DeliveredDate,EstimatedDate
O-10001,C-0001,2,delivered,2017-03-15,2017-03-24,2017-03-28
O-10002,C-0002,1,delivered,2017-04-02,2017-04-15,2017-04-18
O-10003,C-0003,3,delivered,2017-06-21,2017-07-01,2017-07-05
O-10004,C-0001,2,delivered,2017-08-09,2017-08-18,2017-08-21
O-10005,C-0004,4,shipped,2017-10-30,,2017-11-10
O-10006,C-0005,4,canceled,2017-11-05,,2017-11-20
O-10007,C-0006,1,delivered,2018-01-17,2018-01-30,2018-02-02
O-10008,C-0007,3,delivered,2018-02-14,2018-02-27,2018-03-03
O-10009,C-0002,1,delivered,2018-03-08,2018-03-19,2018-03-23
O-10010,C-0008,6,processing,2018-04-22,,2018-05-05
O-10011,C-0003,3,delivered,2018-05-30,2018-06-11,2018-06-14
O-10012,C-0001,2,delivered,2018-06-12,2018-06-24,2018-06-28
